"","EFT_ln_k","EFT_s","NCC_ln_k","NCC_s","sigma_sq","Sigma_11","Sigma_12","Sigma_22","n_EFT","n_NCC","EFT_est_ln_k","EFT_est_s","NCC_est_ln_k","NCC_est_s","est_sigma_sq","est_Sigma_11","est_Sigma_12","est_Sigma_22","est_con_sigma_sq","est_con_g","red_est_ln_k","red_est_s","red_est_sigma_sq","red_est_Sigma_11","red_est_Sigma_12","red_est_Sigma_22","red_est_con_sigma_sq","red_est_con_g","mse_ln_k","mse_s","err_inprod","EFT_ln_k_mazur","NCC_ln_k_mazur","est_sigma_sq_mazur","est_g_mazur","EFT_ln_k_nl","EFT_s_nl","NCC_ln_k_nl","NCC_s_nl","var_ln_k_nl","var_s_nl","corr_ln_k_s_nl","var_residual_nl","lik_ut_nl","BIC_ut_nl","deriv_offset","p_value_nl","p_value_nl_lrt","mse_ln_k_nl","mse_s_nl","err_inprod_nl","lik_uc","lik_uc_red","lik_con","lik_con_red","F_con","lik_mazur","F_mazur","BIC_lin_uc","BIC_lin_con","BIC_mazur","BIC_nl","mh_dist_lin","mh_dist_nl"
"1",-5.86,0.83,-5.86,0.83,1.359326,9.604077,-1.1484446,0.2002995,35,35,-5.16668938231799,0.786169241680789,-6.07358268095764,0.914069452918315,1.22722977939847,8.56985908178425,-0.966271614933869,0.155872703995497,1.22722977939847,8.5125563978568,-5.62013603163781,0.850119347299552,1.22722977939847,8.77547294556364,-0.995269576050348,0.159962320004148,1.22722977939847,8.55714938335551,2.68977668430485,0.072465802221806,-0.425178885216853,-6.4406377074385,-6.58553464423871,1.76779692494492,9.94563441181951,-3.64623103186423,0.553418954914233,-4.65275116471011,0.69431827037364,5.47922994,0.09286129,-0.855,0.02572898,84.4881015059096,-119.420959882982,1217.93017067418,0.366430864728662,0.316771738144324,5.93506884508749,0.142969627223536,-0.896539797073195,-883.234020962361,-883.91224684497,-903.128824189309,-903.456203616179,0.318770568823681,-918.61765908197,0.12911956596991,1816.02328505356,1843.42408072525,NA,2316.43938146538,0.426841008068601,0.831113803325856
"2",-5.86,0.83,-5.86,0.83,1.359326,9.604077,-1.1484446,0.2002995,35,35,-6.0828675485157,0.860386800487136,-5.6686135890836,0.813229343587928,1.42224602574777,9.25786219787072,-1.07021439594781,0.17468749033764,1.42224602574777,7.75158950696493,-5.87574056879965,0.836808072037532,1.42224602574777,9.30076378359702,-1.07509818675712,0.17524344677294,1.42224602574777,7.76599664258954,3.09861748465868,0.0879244683611089,-0.506359470967628,-6.91464686353181,-6.78134482937889,2.02044312268069,9.07985417389368,-4.05506389409235,0.579829158289551,-3.79709852864871,0.54885828598269,4.13218556,0.0959893,-0.821,0.02963793,57.6390875777084,-65.7229320265795,1262.96359187924,0.926191253823813,0.93383558008511,9.01542163945667,0.180735663598985,-1.24688096429959,-915.225545690695,-915.35093701987,-933.424501121312,-933.539642524071,0.111943689965613,-948.46136859821,0.103829230746346,1880.00633451023,1904.01543458925,NA,2460.20425173189,0.499421076232581,1.1204917854612
"3",-5.86,0.83,-5.86,0.83,1.359326,9.604077,-1.1484446,0.2002995,35,35,-4.92678002582181,0.70404981108661,-6.09791854331863,0.842242946474479,1.45107105848217,7.4593382280499,-0.800384463860278,0.138049918551961,1.45107105848217,7.65341004104646,-5.51234928457022,0.773146378780544,1.45107105848217,7.80222958484105,-0.840845289786872,0.142824254219043,1.45107105848217,7.75560913823428,2.2869756289666,0.0607225869555439,-0.354436144093872,-6.68997466839275,-7.03779424546044,2.02678266960571,9.46384203699544,-2.94351232432137,0.421575250345341,-4.26204539461809,0.585596360551776,3.19636082,0.06968983,-0.783,0.03002258,59.3351782640299,-69.1151133992224,1241.54925205221,0.105173026080186,0.072248629990995,9.40413975682652,0.190161298767865,-1.29493751531688,-914.9936394427,-916.114349194941,-937.55060047705,-938.372475496175,0.803098267134807,-950.537443497702,0.678823157868587,1879.54252201424,1912.26763330073,NA,2413.98339070519,0.375622332624554,1.21640312744452
"4",-5.86,0.83,-5.86,0.83,1.359326,9.604077,-1.1484446,0.2002995,35,35,-5.2889330279007,0.70041515464851,-5.15449048898385,0.783230412011444,1.29012286895094,15.7798951330125,-1.9993432664238,0.305477708291412,1.29012286895094,9.6999606505848,-5.22171175844228,0.741822783329977,1.29012286895094,15.7844138320801,-1.99655979305857,0.307192300004435,1.29012286895094,9.9791170861227,3.20450185633803,0.0856230587328214,-0.512548747538,-7.07378201299046,-6.44594760079392,2.39791034180851,7.71060389667941,-3.45574133118946,0.459136321802087,-3.7524453064304,0.574095078127683,8.13074172,0.19041272,-0.914,0.02665954,63.7915018631928,-78.0277605975483,1246.11679994263,0.261905142172165,0.253242296501768,8.20132028006731,0.16031880734464,-1.10691281165205,-911.900588189258,-913.371422844259,-923.607363712712,-925.410210758897,1.77408480614734,-985.315249003008,2.24572196957584,1873.35641950735,1884.38115977205,NA,2414.20583928771,0.474435560263063,1.05822346107133
"5",-5.86,0.83,-5.86,0.83,1.359326,9.604077,-1.1484446,0.2002995,35,35,-5.72090890224727,0.773621779009907,-5.96102589384272,0.928326956547755,1.35387370953462,9.13300161165103,-1.24030487341763,0.225594099527097,1.35387370953462,7.58631208332663,-5.840967398045,0.850974367778831,1.35387370953462,9.14741565406425,-1.24959170887129,0.231577522516351,1.35387370953462,7.9258329969723,2.81768180946103,0.0762572785757208,-0.445198497356129,-7.06961176305634,-6.38803533991115,2.10589404834319,7.49273578312689,-4.21250132432115,0.584076716885774,-4.57547974025483,0.710585620952412,6.43637423,0.15044759,-0.897,0.02299013,103.486045285388,-157.416847441938,1236.52852547622,0.206184431014469,0.194724495676397,5.60616488210402,0.139055658893541,-0.837012827940513,-907.540839581345,-909.547707694653,-920.019358477509,-922.733982223804,2.68886361267235,-952.613597962045,3.09094978261692,1864.63692229153,1877.20514930165,NA,2315.6402035105,0.45338038154884,0.886106072677849
"6",-5.86,0.83,-5.86,0.83,1.359326,9.604077,-1.1484446,0.2002995,35,35,-5.93925109779769,0.761448431160678,-4.63279603461413,0.642598759722001,1.14989278368558,11.5713350073098,-1.36219170659712,0.221408178417868,1.14989278368558,11.448589021681,-5.28602356620591,0.702023595441339,1.14989278368558,11.9980412153393,-1.40100964534931,0.224939489518138,1.14989278368558,11.7483497859677,3.39289104552152,0.0915970850835399,-0.539201831768033,-7.36047961499751,-6.76210013953833,2.07953728702094,10.3211367940893,-3.76744453359365,0.476116089713876,-3.42569570122302,0.477252144641439,5.97289418,0.11594277,-0.864,0.02435088,90.6390647234743,-131.722886318111,1270.07224050749,0.538030129346171,0.531236328498894,8.07970944498813,0.160988444885477,-1.0928659370763,-887.142542239747,-888.428959435927,-906.011224293544,-907.676842778142,1.6374331208135,-959.589009110326,1.80985419572561,1823.84032760833,1849.18888093372,NA,2408.42159469687,0.530473833090419,1.08192974758299
"7",-5.86,0.83,-5.86,0.83,1.359326,9.604077,-1.1484446,0.2002995,35,35,-6.30051225798715,0.866953883026717,-5.18319851640061,0.750804258622942,1.20952752126706,10.1466979869027,-1.16731063263812,0.210438514416506,1.20952752126706,12.2737883467917,-5.74185538719388,0.808879070824829,1.20952752126706,10.4587954861872,-1.19975452549474,0.21381119822879,1.20952752126706,12.429444208644,3.30491164743569,0.0814338094474797,-0.497438227726722,-7.09316659459516,-6.66784225918973,1.95133145998533,12.9182211424642,-4.62446223464378,0.643539044578821,-4.07956904140599,0.601487166865392,7.16354705,0.14565257,-0.851,0.02423352,86.4908234906011,-123.426403852365,1320.9236657002,0.685711948599387,0.683646203299886,5.83624162304779,0.119641344339132,-0.788759176954335,-899.872520171775,-900.76826596864,-922.891573785671,-923.707657285539,0.797406010208063,-951.227266397797,0.79263390702467,1849.30028347239,1882.94957991797,NA,2518.42092754804,0.498552868750705,0.837262411228572
"8",-5.86,0.83,-5.86,0.83,1.359326,9.604077,-1.1484446,0.2002995,35,35,-6.73813928770077,1.0046415737284,-4.7226532759947,0.650362723951987,1.18935715413863,6.27833205532056,-0.644636112195219,0.114577530469414,1.18935715413863,8.69613565843474,-5.73039628184773,0.827502148840196,1.18935715413863,7.29387802116629,-0.823147128687142,0.14595590631914,1.18935715413863,8.93733690234745,3.34108369838803,0.0863105032724363,-0.518997625494358,-6.7104859925261,-6.80570169111621,1.71002603931741,10.6009224282147,-5.06133944890316,0.763562481768709,-3.30035466364192,0.457168604555077,3.78559865,0.08933197,-0.801,0.02443926,97.0277895901567,-144.500336051476,1220.94487482424,0.00935097762340702,0.00668221654355713,7.32555107531262,0.163957155960798,-1.06244541618784,-871.093032370732,-876.676245521558,-896.786974564095,-898.506989861032,1.69156921518482,-912.512449309205,0.0543837099817739,1791.7413078703,1830.74038147482,NA,2297.389413597,0.506096005484845,0.994832957839275
"9",-5.86,0.83,-5.86,0.83,1.359326,9.604077,-1.1484446,0.2002995,35,35,-4.81014726825401,0.67740146492402,-6.25935476140678,0.82511300833102,1.29626501550956,11.1442888010845,-1.3819611521822,0.224277044905692,1.29626501550956,8.6613660941864,-5.5347510148304,0.75125723662752,1.29626501550956,11.6693393906371,-1.43547732106485,0.229731719919612,1.29626501550956,8.91745603664451,3.77539525825831,0.090453319970326,-0.569721194798546,-6.7321058614741,-7.30128620229644,2.1603493713408,8.14835547775876,-3.28833835159214,0.465832834224911,-3.94808765418406,0.524551584165099,5.44178525,0.13437724,-0.891,0.02867394,59.9448357368485,-70.3344283448597,1248.90447718348,0.466620656117757,0.411520340013865,9.28418767436191,0.169675466032787,-1.21728480182951,-903.299323442628,-904.835194900602,-917.623665933156,-919.454962858373,1.80244863069935,-961.471114836642,1.95065165993457,1856.15389001409,1872.41376421294,NA,2427.4745260221,0.523084206489271,1.14627001721057
"10",-5.86,0.83,-5.86,0.83,1.359326,9.604077,-1.1484446,0.2002995,35,35,-5.05091025667771,0.689019493183573,-6.59826183297295,0.946594576677728,1.63375898905837,8.9862021642035,-1.09576595499163,0.194372201620426,1.63375898905837,7.11775645217313,-5.82458604482533,0.81780703493065,1.63375898905837,9.58477638936935,-1.1954057578564,0.210958432529681,1.63375898905837,7.20809305353426,3.39898520966242,0.0824475646314417,-0.512158049356769,-6.90365164392238,-6.91643752541564,2.35723343637053,8.0934432449153,-3.28682531932813,0.449594315559417,-4.03400460660923,0.574706471821047,3.23441853,0.09804411,-0.823,0.03549022,23.9290900380221,1.69706305279321,1286.87546437515,0.485628547704311,0.437784622676408,12.0587493709773,0.251242104251302,-1.69798193947075,-945.257498620405,-947.241677915192,-962.130103030925,-962.904779611448,0.756722492076324,-982.628979737951,0.000907564203068679,1940.07024036965,1961.42663840848,NA,2575.4479918031,0.489903702135834,1.53486198728159
