"","EFT_ln_k","EFT_s","NCC_ln_k","NCC_s","sigma_sq","Sigma_11","Sigma_12","Sigma_22","n_EFT","n_NCC","EFT_est_ln_k","EFT_est_s","NCC_est_ln_k","NCC_est_s","est_sigma_sq","est_Sigma_11","est_Sigma_12","est_Sigma_22","est_con_sigma_sq","est_con_g","red_est_ln_k","red_est_s","red_est_sigma_sq","red_est_Sigma_11","red_est_Sigma_12","red_est_Sigma_22","red_est_con_sigma_sq","red_est_con_g","mse_ln_k","mse_s","err_inprod","EFT_ln_k_mazur","NCC_ln_k_mazur","est_sigma_sq_mazur","est_g_mazur","EFT_ln_k_nl","EFT_s_nl","NCC_ln_k_nl","NCC_s_nl","var_ln_k_nl","var_s_nl","corr_ln_k_s_nl","var_residual_nl","lik_ut_nl","BIC_ut_nl","deriv_offset","p_value_nl","p_value_nl_lrt","mse_ln_k_nl","mse_s_nl","err_inprod_nl","lik_uc","lik_uc_red","lik_con","lik_con_red","F_con","lik_mazur","F_mazur","BIC_lin_uc","BIC_lin_con","BIC_mazur","BIC_nl","mh_dist_lin","mh_dist_nl"
"1",-5.86,0.83,-5.86,0.83,1.359326,9.604077,-1.1484446,0.2002995,35,35,-5.84492400225917,0.827719156937489,-6.76013038720068,0.948977212039714,1.40763507232137,10.6414591878733,-1.23116596306154,0.219478838965511,1.40763507232137,10.7396949397586,-6.30252719472992,0.888348184488601,1.40763507232137,10.8508598696328,-1.25890999962533,0.223154717947305,1.40763507232137,10.7860112932841,1.84368216876527,0.0535233657856991,-0.301439455299826,-6.87132868414407,-7.06411095471076,2.10582786277876,12.1732577801902,-4.29210475586831,0.611754717171748,-4.55221648547461,0.645623319101326,6.3440147,0.138876,-0.836,0.0250436,82.2880425110893,-115.020841893341,1358.52050652672,0.948429591086508,0.944416849006851,8.68625212323683,0.181744112689882,-1.21036691845219,-929.67693360091,-930.214721275443,-951.456394751845,-951.732020818372,0.26827886549829,-967.970116062013,0.159428178943299,1908.90911033066,1940.07922185032,NA,2602.0201711601,0.315754943317867,1.16616467915402
"2",-5.86,0.83,-5.86,0.83,1.359326,9.604077,-1.1484446,0.2002995,35,35,-5.04240061278028,0.698470769845865,-6.23627222216977,0.834559115422948,1.33856531404266,9.02220882321992,-1.05807715226234,0.198486497505081,1.33856531404266,10.3649794673269,-5.63933641747503,0.766514942634407,1.33856531404266,9.37854117814649,-1.09869515530066,0.203116506955558,1.33856531404266,10.4916627529411,3.1048221296583,0.0749028302057192,-0.46473164538597,-6.83883373937611,-7.22192620137308,2.10198100426476,11.1590216834807,-3.36115440190714,0.47874146085289,-4.11223118939548,0.546520429676087,4.05685361,0.12958604,-0.822,0.02548414,85.2443295699547,-120.933416011072,1309.13306411169,0.370134549679364,0.353101814355012,9.71776603064818,0.176303945796712,-1.26677507060511,-914.586660686479,-915.64437047411,-936.859049727616,-937.635009793336,0.75798319271329,-964.71803863863,0.683324126130001,1878.7285645018,1910.88453180186,NA,2497.33271221231,0.452785705036424,1.20717331553587
"3",-5.86,0.83,-5.86,0.83,1.359326,9.604077,-1.1484446,0.2002995,35,35,-6.00137541798794,0.921384262651545,-6.66129044450297,0.889407178459291,1.2525150629992,8.1494272748072,-0.750568595559045,0.103264240213504,1.2525150629992,8.75660502448622,-6.33133293124545,0.905395720555418,1.2525150629992,8.25829923536229,-0.745293055968395,0.103519873691863,1.2525150629992,9.2636601187249,2.0506699384493,0.0609834341543117,-0.336907893500516,-6.46974763773038,-7.32017385715876,1.58578622798394,12.4646874854909,-4.36771696219985,0.672586550314979,-4.99131538560684,0.665984315561024,5.51016113,0.08244093,-0.845,0.02513798,94.7596536971689,-139.9640642655,1287.05533775431,0.112149003671602,0.105481981537638,6.68696363225007,0.134209488241188,-0.903460863805859,-880.05930351856,-882.313314405412,-909.898623016097,-913.445174330995,3.53399018630931,-899.247029523263,4.03068931877846,1809.67385016596,1856.96367837882,NA,2434.14661124313,0.368071876104362,0.914739715579908
"4",-5.86,0.83,-5.86,0.83,1.359326,9.604077,-1.1484446,0.2002995,35,35,-5.14833612926202,0.728487593033648,-6.6155350692316,0.867570790539828,1.54210450836088,6.38720510143197,-0.613508342540178,0.112322988095061,1.54210450836088,7.60123468087414,-5.88193559924681,0.798029191786738,1.54210450836088,6.92537328379393,-0.66452402252734,0.117159022052196,1.54210450836088,7.86048997309224,3.08334637081266,0.0767702450462849,-0.473305475617676,-6.76593679075276,-7.40451403051353,2.01014632879844,10.4364236591568,-3.61189855453894,0.506148979864186,-4.86322725130795,0.645038743618359,4.45678558,0.08258342,-0.798,0.02521088,92.6574716221588,-135.75970011548,1301.2716946071,0.195038153414948,0.183683191975643,7.56328744884289,0.148164791759444,-1.01508810612281,-924.875512202683,-926.895122572839,-952.034556117582,-954.113297418106,2.04963130584402,-951.628839821252,2.11084295632348,1899.3062675342,1941.23554458179,NA,2466.78368909872,0.442765436591395,1.00264074227345
"5",-5.86,0.83,-5.86,0.83,1.359326,9.604077,-1.1484446,0.2002995,35,35,-4.85574889316516,0.595167949915551,-6.11143351105767,0.793343512694639,1.46114704111645,9.54168974341038,-1.38225742140967,0.26733584683404,1.46114704111645,7.75965988668137,-5.48359120211142,0.694255731305095,1.46114704111645,9.93587570831335,-1.44446892286565,0.277154235254742,1.46114704111645,7.82276396149253,2.80352904135193,0.0786325689861292,-0.449436411894888,-7.2676334892544,-7.34263938596243,2.55941082715895,6.57366891858832,-3.41831637058698,0.431154133308536,-3.8724500473572,0.495399876704428,3.8571845,0.1015734,-0.857,0.0304402,58.4359452549581,-67.3166473810789,1293.87830869795,0.795254150264827,0.763409263840901,9.9137430335941,0.228876566214239,-1.44490340719473,-927.69920163074,-928.790266187922,-940.100210869947,-940.602679044046,0.489868002030913,-996.388983976467,0.0345375444953756,1904.95364639032,1917.36685408652,NA,2520.43997001483,0.47031857841966,1.43044042095749
"6",-5.86,0.83,-5.86,0.83,1.359326,9.604077,-1.1484446,0.2002995,35,35,-5.85264732637582,0.786618460961126,-4.88220042536613,0.706107586847763,1.54617848444195,8.05621820036067,-0.753872152742428,0.10471199849142,1.54617848444195,6.91802588964431,-5.36742387587097,0.746363023904445,1.54617848444195,8.2916599972805,-0.77340503481265,0.106332498704045,1.54617848444195,7.06365325143128,2.87338630359355,0.0780732085181534,-0.458018490097235,-7.12391931926847,-6.63313537244235,2.05189148115954,9.27222236263482,-4.11913737551488,0.558502749540988,-3.47885987762629,0.504822287924417,4.21321292,0.05700769,-0.807,0.0300641,60.4576293263239,-71.3600155238103,1248.1107284665,0.558264432774078,0.556189006245991,7.66924719353297,0.155544840780334,-1.05937652635043,-920.102253866855,-920.957148315087,-946.887481766699,-948.163217236887,1.25064766641704,-952.907100229907,1.35990590212933,1889.75975086255,1930.94139588003,NA,2424.86144140919,0.45197787479031,0.986728243741557
"7",-5.86,0.83,-5.86,0.83,1.359326,9.604077,-1.1484446,0.2002995,35,35,-5.68778547922606,0.858310416742313,-6.06923327457173,0.831513960008619,1.22149134522637,9.35798095321758,-1.09902966542856,0.207062704021111,1.22149134522637,11.8569700287509,-5.87850937689889,0.844912188375466,1.22149134522637,9.3943565583611,-1.09647430309252,0.207242216544481,1.22149134522637,12.0680078046181,2.40423101285043,0.0648894578722518,-0.383441902224902,-6.53193535128839,-7.07302950173931,1.90686412701934,12.9005440836584,-4.40962723304303,0.686407248907753,-4.01951555390867,0.564536618443132,4.68627818,0.11802322,-0.799,0.02412968,93.2807173629005,-137.006191596964,1309.68479379158,0.376858591582761,0.335870127025043,7.56605154644959,0.158835824122106,-1.04072632025282,-900.032600207694,-900.704506892914,-923.069675748339,-924.209346587889,1.11617035171436,-945.535078891501,1.3144409824082,1849.62044354423,1883.30578384331,NA,2482.3633959862,0.370466843633984,1.07564561806296
"8",-5.86,0.83,-5.86,0.83,1.359326,9.604077,-1.1484446,0.2002995,35,35,-5.12197003581669,0.737919741382232,-4.71638009472447,0.6601146040604,1.44815473893747,9.74586795832612,-1.25186632309342,0.223857247947235,1.44815473893747,8.08102068829955,-4.91917506527058,0.699017172721316,1.44815473893747,9.78699375840494,-1.25975556835918,0.225370657795653,1.44815473893747,8.09234016516751,2.90180517238277,0.082456145585308,-0.470632059396233,-6.68337639820184,-6.74132933165225,2.38441279779463,7.75405572195875,-3.35634759754198,0.484037379647726,-3.29000656862521,0.474694563258706,4.57223826,0.11295488,-0.866,0.03152851,40.4176075470215,-31.2799719652056,1212.17712376343,0.995174524951522,0.997331758489453,7.74728197697527,0.167116492712462,-1.08897271362235,-925.374838497917,-925.551953031067,-940.434030332843,-940.521230877598,0.0847618845327405,-984.106437387,0.0191472786822709,1900.30492012467,1918.03449301231,NA,2393.07427556165,0.483088012638272,1.08393298324625
"9",-5.86,0.83,-5.86,0.83,1.359326,9.604077,-1.1484446,0.2002995,35,35,-5.1660902922706,0.779139545803473,-6.75045726948642,1.02088479844372,1.52489364995236,13.3776397112637,-1.56187709784646,0.234717094053368,1.52489364995236,8.47973578286368,-5.95827378087851,0.900012172123599,1.52489364995236,14.0051943908867,-1.65763039664194,0.249327285846893,1.52489364995236,8.57682519540697,2.52751803652922,0.0672528550874998,-0.396488722967503,-6.48191972635507,-6.6260310447141,2.29332626081228,9.1220640997875,-3.7686091254863,0.568035582320305,-4.30530005936503,0.644940921495751,7.03831005,0.11812838,-0.897,0.03005087,50.1676401820107,-50.780037235184,1281.75036814886,0.786709189884025,0.75356663209747,10.2393935415063,0.23666543956625,-1.51193110563969,-939.194310213672,-940.75569801686,-956.09237653477,-956.805655041865,0.696441357034306,-979.645800896931,0.106465332901437,1927.94386355618,1949.35118541617,NA,2512.72069906253,0.3992803892027,1.40741894750376
"10",-5.86,0.83,-5.86,0.83,1.359326,9.604077,-1.1484446,0.2002995,35,35,-5.76911705779459,0.762613150382404,-5.1253485237103,0.719278884342117,1.3944305640178,9.60883513384074,-1.25192615264584,0.221427489271669,1.3944305640178,7.81466410939782,-5.44723279075244,0.740946017362261,1.3944305640178,9.71244461521,-1.25890046187693,0.221896953924981,1.3944305640178,7.91095494156933,3.10508891106713,0.0782769904299857,-0.472821464145571,-7.18340647926554,-6.79781228864935,2.25081425495992,7.55318632585444,-4.01861193801927,0.532697507490253,-3.80570881486649,0.541022640889968,5.9927125,0.1377064,-0.879,0.0266034,73.3759465881742,-97.196650047511,1253.10557861886,0.679375089615236,0.658602661453672,6.45412979213461,0.132544712423826,-0.890713015119527,-915.363599381276,-915.913989434962,-929.088153873245,-929.848682973653,0.742827691038374,-969.167067434315,0.919052531819551,1880.28244189139,1895.34274009312,NA,2409.01450719021,0.475732918653361,0.859603190685578
