"","EFT_ln_k","EFT_s","NCC_ln_k","NCC_s","sigma_sq","Sigma_11","Sigma_12","Sigma_22","n_EFT","n_NCC","EFT_est_ln_k","EFT_est_s","NCC_est_ln_k","NCC_est_s","est_sigma_sq","est_Sigma_11","est_Sigma_12","est_Sigma_22","est_con_sigma_sq","est_con_g","red_est_ln_k","red_est_s","red_est_sigma_sq","red_est_Sigma_11","red_est_Sigma_12","red_est_Sigma_22","red_est_con_sigma_sq","red_est_con_g","mse_ln_k","mse_s","err_inprod","EFT_ln_k_mazur","NCC_ln_k_mazur","est_sigma_sq_mazur","est_g_mazur","EFT_ln_k_nl","EFT_s_nl","NCC_ln_k_nl","NCC_s_nl","var_ln_k_nl","var_s_nl","corr_ln_k_s_nl","var_residual_nl","lik_ut_nl","BIC_ut_nl","deriv_offset","p_value_nl","p_value_nl_lrt","mse_ln_k_nl","mse_s_nl","err_inprod_nl","lik_uc","lik_uc_red","lik_con","lik_con_red","F_con","lik_mazur","F_mazur","BIC_lin_uc","BIC_lin_con","BIC_mazur","BIC_nl","mh_dist_lin","mh_dist_nl"
"1",-5.86,0.83,-5.86,0.83,1.359326,9.604077,-1.1484446,0.2002995,35,35,-6.01432511160425,0.809357665725599,-5.74174317535299,0.829433002441874,1.5083057371296,13.3288837892428,-1.73854535707904,0.27937474572512,1.5083057371296,7.51645631697589,-5.87803414347862,0.819395334083737,1.5083057371296,13.3474590172355,-1.73717731354079,0.279475500511188,1.5083057371296,7.60627830588618,3.21172998942438,0.0856713766626017,-0.503396172478255,-7.15012280672994,-6.75793720921424,2.43310278927081,6.89751542288877,-4.42578953163344,0.606614481654454,-3.98320648133132,0.574240030045475,7.73635586,0.17747048,-0.912,0.02745816,63.7115980475281,-77.8679529662189,1278.18546181021,0.690674995355355,0.654179943634598,7.65830872144732,0.154348593819952,-1.05393204684671,-935.840100242169,-936.349362953453,-945.911717466311,-946.646132504208,0.717187409712317,-985.455059661699,0.952531405658501,1921.23544361318,1928.98986727925,NA,2478.5029706542,0.512358095927577,0.984786251896056
"2",-5.86,0.83,-5.86,0.83,1.359326,9.604077,-1.1484446,0.2002995,35,35,-5.87208729267669,0.894299824113607,-6.80480081978364,0.965564898396937,1.56201012001769,8.57334392135408,-0.951560632707286,0.161630295933266,1.56201012001769,7.57935268645583,-6.33844405623017,0.929932361255272,1.56201012001769,8.79083255226615,-0.968178107405871,0.162899973636418,1.56201012001769,7.73121640776219,3.01817297724268,0.0721457223331385,-0.45233365845561,-6.50182158859307,-7.00995624436989,2.05926385868867,9.8613567608208,-4.22205349142558,0.647186202690331,-4.73360081784726,0.685060435139019,4.09023242,0.09065772,-0.821,0.03002487,57.8370864435693,-66.1189297583013,1296.66219583679,0.59618818058727,0.569591972722066,9.3923278502451,0.196264421202797,-1.31171809299592,-934.222914466433,-935.106078014559,-954.998488822086,-956.226724955247,1.20367275087493,-955.737673975088,1.37375256444828,1918.0010720617,1947.1634099908,NA,2527.20546191527,0.427390039509928,1.24568021498378
"3",-5.86,0.83,-5.86,0.83,1.359326,9.604077,-1.1484446,0.2002995,35,35,-5.24526242780936,0.835936721818395,-4.44767145726137,0.645951860025466,1.44855843515819,7.57485895599993,-0.837025457253849,0.149467084910855,1.44855843515819,7.94013257288816,-4.84646694253537,0.740944290921931,1.44855843515819,7.73389679507484,-0.87490800983056,0.158490646838475,1.44855843515819,8.06301119887553,3.14421596018867,0.0876393903512099,-0.509529889248942,-6.22270898459155,-6.55699865825866,2.11705891146573,9.29477307585317,-3.73323802826522,0.591820150085443,-2.91855775117453,0.427551739461929,4.45441865,0.08543183,-0.827,0.03049993,48.5328594299739,-47.5104757311104,1207.35666986526,0.203678324128925,0.18221581693119,6.34196464499577,0.161355784064574,-0.96861421112407,-917.28373567182,-918.853357396762,-939.407785965942,-940.363356559829,0.934633407169046,-960.643967497683,0.610159198064034,1884.12271447248,1915.98200427851,NA,2367.20286399941,0.497954959397892,0.984125087584313
"4",-5.86,0.83,-5.86,0.83,1.359326,9.604077,-1.1484446,0.2002995,35,35,-5.8322011310773,0.83023396693196,-6.40539004784707,0.917301836659773,1.3346697291851,9.95767910551639,-1.05736954128907,0.176797982175732,1.3346697291851,10.707264314652,-6.11879558946218,0.873767901795866,1.3346697291851,10.0398154890933,-1.06984612577275,0.178693185660467,1.3346697291851,10.7218318777325,3.52670151025594,0.0929298486967101,-0.556469122774591,-6.84362322577205,-6.89808430523988,1.91139152225799,13.0068954510969,-4.4998099544737,0.642185467667449,-4.61367828445512,0.659843040356144,5.95461363,0.09946294,-0.821,0.02298406,104.038694959258,-158.522146789679,1320.59275748738,0.986313469200103,0.975059822886133,7.20408403035891,0.166010287410176,-1.0543958494265,-913.328494265979,-913.597262396422,-938.222095928669,-938.30914406221,0.0846136435334847,-946.382845198948,0.0131834145720662,1876.21223166079,1913.61062420397,NA,2482.66336818507,0.530376405984073,1.01777999563793
"5",-5.86,0.83,-5.86,0.83,1.359326,9.604077,-1.1484446,0.2002995,35,35,-6.05272805195631,0.864752282521862,-5.48229524642555,0.781845433564961,1.56311650735624,8.40017355577932,-0.926614940890345,0.148231480343286,1.56311650735624,6.71069970200393,-5.76751164919093,0.823298858043411,1.56311650735624,8.48152195218574,-0.938438137502392,0.149949866744276,1.56311650735624,6.72374791371322,3.33086142349388,0.0908824893127549,-0.534764448508388,-6.85849895466449,-6.78200370142915,2.09996966182275,8.47960655906508,-4.2337084758349,0.604942863026012,-3.7707310310972,0.547418364114204,4.05132619,0.07300147,-0.829,0.03295774,40.716481005663,-31.8777188824887,1251.42298249605,0.795272022100428,0.762904074932874,8.87184192836754,0.18660741373432,-1.25055148486701,-928.253685396395,-928.518928529023,-947.699496220868,-947.817851611353,0.115071061060941,-955.770989711315,0.0349794197866486,1906.06261392163,1932.56542478836,NA,2470.9682461096,0.515434388017157,1.15224454758629
"6",-5.86,0.83,-5.86,0.83,1.359326,9.604077,-1.1484446,0.2002995,35,35,-5.62728345148957,0.731427804784903,-6.15766367649401,0.932078059575806,1.34618008990249,6.99662779833329,-0.852195683430407,0.157223945089033,1.34618008990249,7.33770764839967,-5.89247356399179,0.831752932180354,1.34618008990249,7.06695359410224,-0.878800915251207,0.167289076275946,1.34618008990249,7.69165060981954,2.88815510232405,0.0799044493665673,-0.469788898502363,-7.22736709220439,-6.56232502139354,1.92577152098479,8.50611814817551,-3.99004877810892,0.505792304428172,-4.57691759806841,0.695394106654924,4.84032856,0.10831054,-0.861,0.02522959,91.8314737960442,-134.107704463251,1245.18662026595,0.0298991705746545,0.0255288197458928,6.27792719124028,0.155794028861046,-0.938652458472984,-898.380834106047,-900.98158112907,-916.56646297571,-919.476681373929,2.88665930631074,-934.652663516179,2.87499592463347,1846.31691134093,1870.29935829805,NA,2356.26553606865,0.441246858146472,0.988385623688767
"7",-5.86,0.83,-5.86,0.83,1.359326,9.604077,-1.1484446,0.2002995,35,35,-5.75692376103231,0.845760946270964,-5.26381022676579,0.768795208554124,1.3528476022843,11.6721293941382,-1.27500626304727,0.195262908212348,1.3528476022843,10.1067880832233,-5.51036699389905,0.807278077412544,1.3528476022843,11.7329196335574,-1.28449447478302,0.196743839407922,1.3528476022843,10.1172923720093,2.49959656913584,0.0638206034256996,-0.380091220201923,-6.67584013073881,-6.64126854537967,2.04589844146432,11.3305787687433,-4.32103782004961,0.639389937015584,-3.59149258024376,0.535545176200583,6.27915538,0.12307867,-0.853,0.02616119,72.4568424632273,-95.3584417976172,1271.01821387613,0.624800382287094,0.628269865435138,6.95117978128997,0.138761256292987,-0.946807962691401,-915.774383489542,-915.964899035827,-937.850701458891,-937.916872949878,0.064311269117094,-958.582832258913,0.00563790844713247,1881.10401010792,1912.86783526441,NA,2446.67798595464,0.39780375695361,0.909902165344213
"8",-5.86,0.83,-5.86,0.83,1.359326,9.604077,-1.1484446,0.2002995,35,35,-6.35920347748818,0.900859668869887,-6.70396294717467,0.935188639744027,1.37544116223698,9.99145511343835,-1.19952412447616,0.19198890318137,1.37544116223698,7.63585303701383,-6.53158321233142,0.918024154306957,1.37544116223698,10.021169886423,-1.20248293392452,0.19228352274169,1.37544116223698,7.65026805380837,3.02977172580959,0.0681092795963296,-0.438949498320026,-6.94985591583644,-7.09009226035618,1.96512944628114,8.65196458918415,-4.77926258897117,0.685851484271896,-4.82270036291358,0.679178876444901,5.98069606,0.13250952,-0.877,0.02634805,79.8225605940653,-110.089878059293,1294.04388951933,0.960069089869231,0.971164989673787,7.70741063618711,0.148663997045189,-1.04531146296974,-908.731690527162,-908.827327051179,-924.294214527879,-924.410961530196,0.113506000834759,-940.142272220131,0.123384681248563,1867.01862418316,1885.75486140239,NA,2477.99790097938,0.417963016994978,0.943514658840287
"9",-5.86,0.83,-5.86,0.83,1.359326,9.604077,-1.1484446,0.2002995,35,35,-6.02780015324191,0.853591954502608,-6.0120213286556,0.883336013276357,1.4464511416632,10.0271313206336,-1.46399564620675,0.296426514847025,1.4464511416632,9.33374212996818,-6.01991074094876,0.868463983889483,1.4464511416632,10.0271935634599,-1.46387831463529,0.296647692105109,1.4464511416632,9.35763122222242,3.63155938623079,0.0862134372390632,-0.54275577588009,-6.90006140233281,-6.70707517243704,2.3767475157932,8.75190688587927,-4.26127577484348,0.605103517786028,-4.09243856595743,0.594644833637872,5.9103438,0.1847504,-0.875,0.02605755,74.4883129095143,-99.4213826901913,1315.24502158065,0.934592150914574,0.928219210560524,8.35290543666815,0.190234543571207,-1.21904977231403,-933.896943354045,-933.998897430802,-949.191596232684,-949.353232405629,0.157199420389769,-987.095656753668,0.191217224813669,1917.34912983693,1935.549624812,NA,2531.06866047111,0.510527575222011,1.1576159695141
"10",-5.86,0.83,-5.86,0.83,1.359326,9.604077,-1.1484446,0.2002995,35,35,-6.02301955154714,0.804937799377584,-5.76990431204493,0.703878693336306,1.37035414524462,8.56934592397178,-1.02126493047579,0.18761586416042,1.37035414524462,9.03218791584252,-5.89646193179603,0.754408246356945,1.37035414524462,8.58536275508885,-1.02765983043317,0.190169099888886,1.37035414524462,9.12650957608386,3.80997251481165,0.0963024115425557,-0.583702321405305,-7.18514966664631,-7.53411842989207,2.11259071643388,9.78736219119942,-4.6054788347401,0.611542059774575,-3.85974366782752,0.471387761991619,3.81517111,0.07731877,-0.773,0.02438843,105.071839805656,-160.588436482475,1337.5441276085,0.352596897209229,0.307109593722604,9.01440151185009,0.186786054159408,-1.25118770968186,-913.666340089504,-914.263526060164,-933.877746965586,-934.532805597456,0.639329421479699,-961.762196516028,0.635900903980834,1876.88792330785,1904.9219262778,NA,2514.49981873453,0.57432351594744,1.19988100968295
